connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
26,27,34,21194,32732,8337,11638,5247,20938,12033,4794,1
26,27,34,25923,24495,14301,17231,753,9390,3613,1744,1
26,27,34,286759,303675,20301,128752,2446,30379,8835,9193,1
26,27,34,195597,32525,10222,15634,4292,5221,3449,4212,1
26,27,34,1480876,147298,8893,10715,45741,47835,18719,21152,1
26,27,34,290330,301598,38262,135935,42820,59768,4077,5850,1
26,27,34,198072,198861,29538,60119,15282,23845,7046,7375,1
26,27,34,717234,282745,10246,50178,37744,39211,15537,4949,1
26,27,34,64112,72434,44616,39088,22040,17931,6069,2786,1
26,27,34,197179,74630,8555,71562,10039,25589,14788,10094,1
26,27,34,577604,111268,15100,56206,20714,11414,12257,7573,1
26,27,34,1445623,53176,71492,17639,14320,18557,7408,3318,1
26,27,34,57906,21039,4395,12495,1122,8549,514,535,1
26,27,34,265874,71235,12053,78280,5481,64425,2506,2409,1
26,27,34,51158,42180,599,13506,656,22528,384,249,1
26,27,34,85451,58071,550,11052,1209,15591,432,607,1
0,26,48,200823,577604,11676,272882,24797,109790,4510,9261,1
0,14,69,1127938,345031,72059,104842,45532,102947,5052,6131,1
26,14,69,513170,120205,13309,48217,4705,68708,1640,1461,1
26,14,69,10541,46475,380,8003,1010,15603,724,417,1
26,14,69,476113,65561,16586,27851,3150,50767,3377,1296,1
0,8,53,1202060,2194582,206352,305893,144227,182272,375511,47469,1
26,8,53,486582,24430,5156,61425,6046,10549,6902,2281,1
26,8,53,378865,56691,1726,25808,8888,31803,3483,5960,1
26,8,53,241173,65413,10353,35498,1076,50166,2474,1597,1
0,1,61,959464,325208,26108,254139,10117,41565,38612,9161,1
26,1,61,1673145,254647,73604,182457,10237,73149,21869,7265,1
26,1,61,140990,24093,18091,58691,4228,79659,1790,3357,1
26,1,61,30587,19080,4069,19881,608,18631,262,876,1
26,1,61,107133,29102,8590,7023,5551,7933,2772,1915,1
26,1,61,366460,108824,8039,41669,2675,21585,1134,1448,1
26,1,61,33882,28947,490,2905,7936,23964,1549,204,1
26,1,61,2897680,518179,36644,127447,29505,261358,9500,12377,1
26,1,61,68986,20263,2831,7905,1070,13691,1389,942,1
26,1,61,251199,41310,11556,24174,2309,46696,1053,1092,1
0,7,63,54408,56048,7046,34846,2234,26922,672,1080,1
0,11,70,146302,33160,4716,30045,2157,21172,2001,1956,1
0,29,83,345350,156565,25784,177307,6991,218310,7049,4818,1
0,50,74,1591701,179490,24215,104678,16445,222429,4849,3326,1
0,48,61,301396,120614,3037,27196,2205,40577,1412,908,1
0,38,60,620191,247194,27005,162747,21494,40679,11213,8376,1
26,38,60,1767748,67471,34590,41203,32877,25662,24623,5364,1
26,38,60,373769,80465,17920,32888,2635,46412,1187,1389,1
26,38,60,54776,122197,1428,26169,2193,62036,2249,1308,1
26,38,60,539542,31075,10755,31337,8637,44042,1462,1186,1
0,27,74,763959,44213,81425,104421,23152,45541,32040,5076,1
26,27,74,1160963,217296,5046,91300,18517,35103,49372,4895,1
0,23,77,1143002,224044,16746,116375,27841,126638,7110,3202,1
26,23,77,25509,11538,692,5806,817,12258,438,349,1
26,23,77,184302,11395,6942,10194,2042,6434,4004,1297,1
26,23,77,145531,95894,11759,28356,4162,26810,785,1815,1
0,34,88,433630,97630,46069,149597,21497,220826,5402,4847,1
26,34,88,1503066,98146,45540,132561,7505,63178,48444,2522,1
26,34,88,352317,15035,4760,28756,14288,35334,1424,876,1
26,34,88,108689,18260,1564,7817,909,8376,850,344,1
0,44,93,801367,57030,5881,108591,13792,57886,23928,6612,1
0,57,75,1139401,69044,65187,44682,38819,175577,17030,2705,1
26,57,75,23888,56008,2363,7978,1581,11193,754,379,1
26,57,75,1067991,182497,31137,13929,30861,13279,8250,1722,1
0,56,87,644312,93944,44602,153176,6639,86115,6413,3628,1
0,44,88,265426,165454,23175,135577,20834,63271,10635,3355,1
26,44,88,384740,29590,2560,12472,6720,29946,2507,1710,1
26,44,88,117541,13398,381,7736,2174,7621,2475,624,1
26,44,88,178414,5913,5592,8876,2416,7069,617,409,1
0,29,81,797657,273074,9223,146669,6998,28143,58940,6915,1
0,13,81,55414,58377,6854,20731,1730,12539,9808,1448,1
26,13,81,90810,63324,3868,43236,687,43644,836,696,1
26,13,81,411734,22562,1023,14666,2171,12751,6604,815,1
0,20,74,589371,117654,9955,141885,13715,167566,10331,4266,1
26,20,74,44951,25530,1754,3703,571,8285,1207,618,1
26,20,74,322620,10787,1259,21765,3863,47517,892,400,1
26,20,74,313668,33386,12810,16459,5613,41795,1258,1178,1
0,20,83,1291623,130979,129687,193773,8377,89533,6602,11291,1
26,20,83,610812,16662,18749,19759,16055,10281,14199,1411,1
0,40,90,637140,59843,24105,175598,3426,165883,14625,4877,1
26,40,90,186749,74029,8741,30495,628,52828,1114,1524,1
26,40,90,425982,144493,11319,12247,19661,17410,4884,658,1
26,40,90,46010,8060,2504,5704,317,4430,524,772,1
0,53,97,1081466,81454,47027,165474,8714,202247,7694,5377,1
26,53,97,27720,17510,1342,5480,1309,5461,1990,1148,1
0,44,96,1625282,1035909,138578,510713,28836,388370,12527,30646,1
0,53,88,604387,56526,44315,91712,24535,100688,9299,4608,1
0,53,81,666645,152500,18236,179341,15930,212839,13226,3322,1
26,53,81,119765,129815,3485,22576,3620,49127,1387,760,1
0,35,69,1439437,752719,91326,122996,8277,87745,31754,8953,1
26,35,69,240316,15005,23415,28211,5816,12813,6606,1286,1
0,29,87,1740779,296734,71848,644591,21123,140749,96410,29896,1
26,29,87,98111,12964,1846,6856,1246,9100,210,397,1
26,29,87,345303,66120,2588,30987,3118,46447,1402,1063,1
26,29,87,50564,97760,10758,28864,1431,20309,1265,693,1
0,34,84,961706,20305,14020,77377,28839,77433,41759,2194,1
0,35,87,946687,103866,37667,166575,14290,237734,7692,5627,1
26,35,87,419100,78100,19130,16793,1826,59929,1429,916,1
0,48,87,2144820,225962,22298,85779,35860,163599,4342,2372,1
0,53,70,576334,260281,63345,116103,8901,92432,1456,7278,1
0,47,60,194796,52988,2178,21416,6479,26650,1380,999,1
0,41,60,1632469,145930,11083,154505,6970,123248,16660,8082,1
0,37,67,218361,22375,1613,21765,8055,12222,7754,1063,1
0,30,60,826735,350192,22371,69685,17275,49187,36947,3453,1
0,23,78,575749,126982,19849,204842,6738,48070,36120,11729,1
26,23,78,86043,12372,2960,6511,3155,10291,959,530,1
26,23,78,702024,40107,1558,39407,5142,37387,1220,925,1
26,23,78,321707,70706,10474,28170,4107,55476,2308,1014,1
0,13,80,1903285,166520,82970,92490,21814,48595,32995,5268,1
26,13,80,265820,65857,6883,54903,702,26917,3554,1024,1
0,14,77,1125925,420796,19544,222731,9011,221551,9377,10388,1
26,14,77,701902,84513,4645,41340,2204,83055,2586,2987,1
26,14,77,164337,8363,13158,4104,6211,5285,4247,658,1
0,24,90,460005,202219,61270,191217,17407,133054,4354,7074,1
26,24,90,112655,75029,12113,66459,2491,40014,1405,2891,1
26,24,90,370547,83275,9720,31236,12392,62234,2268,1716,1
26,24,90,69118,10290,7555,16832,11066,20459,8228,1326,1
26,24,90,100761,147597,3675,52915,4987,34292,953,1740,1
26,24,90,1619270,697516,68061,142926,39698,65405,35119,11379,1
26,24,90,252943,37931,11566,37468,5275,13913,9801,5858,1
26,24,90,24104,21478,975,7607,496,18527,500,121,1
0,23,75,1073565,1623745,126037,541410,116391,278176,189420,17994,1
26,23,75,238475,29635,7638,37611,3368,36587,2741,4016,1
26,23,75,1714810,101105,20998,92938,18384,37008,72522,7441,1
0,26,69,1276910,260482,15351,143045,17831,71344,49690,5969,1
26,26,69,31493,28830,1377,3321,1014,5943,4327,1225,1
0,20,61,561394,736767,47728,138235,13826,134686,10321,4683,1
0,16,54,543050,340407,21142,162231,7776,101233,19960,4224,1
26,16,54,140688,59749,16807,53891,6020,57801,1727,2865,1
26,16,54,18793,12480,2306,9635,1997,15959,1073,344,1
26,16,54,285552,78344,9073,68336,4370,39826,2025,2781,1
0,21,63,77402,69557,6287,53152,5801,26293,988,2908,1
26,21,63,284331,50769,9280,38073,2743,15368,14716,2447,1
26,21,63,552931,111576,19849,10177,39183,17843,10654,5828,1
26,21,63,102611,39482,410,7374,1073,15307,2216,1237,1
0,24,63,1784453,248082,32271,157615,15254,118126,17998,7927,1
0,16,80,1068366,815740,237707,668556,78473,103376,223671,30176,1
